#DB,#Model,#Mment,#Shots,#Temp,#Deviation
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),2,100.0,0.0019605297569655
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),3,100.0,0.0018683960223855
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),4,100.0,0.0022689328454539
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),5,100.0,0.0016654961556026
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),6,100.0,0.0013002686756655
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),7,100.0,0.0015424295385357
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),8,100.0,0.000807992849382
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),9,100.0,0.0011090262779205
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),10,100.0,0.0020037954999172
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),11,200.0,0.0034700003961501
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),12,200.0,0.0017860748756357
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),13,200.0,0.0022467035071571
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),14,200.0,0.0021568244037983
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),15,200.0,0.001665147351953
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),16,200.0,0.0015634144549661
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),17,200.0,0.0019399188354538
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),18,200.0,0.0017831665969147
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),19,200.0,0.0022786257710876
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),20,200.0,0.0008701171369241
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),21,21.0,0.0055049890296976
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),22,21.0,0.0036099936230431
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),23,21.0,0.0128245255048166
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),24,21.0,0.0110537342661301
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),25,21.0,0.0040052817981184
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),26,22.0,0.003827259846576
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),27,22.0,0.0030751888891993
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),28,22.0,0.002633824134373
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),29,22.0,0.005209136459835
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),30,22.0,0.0057664076527865
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),31,25.0,0.0006088204414038
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),32,25.0,0.0034155163984948
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),33,25.0,0.0024567699171222
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),34,25.0,0.004731138289433
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),35,25.0,0.0048887752409945
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),36,25.0,0.0046812389186965
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),37,25.0,0.0080997215143001
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),38,25.0,0.0044915025045664
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),39,25.0,0.0031462030084139
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),40,25.0,0.0022836720885719
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),41,300.0,0.0004795178467262
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),42,300.0,0.0048859377022628
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),43,300.0,0.004855353266895
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),44,300.0,0.0057061188549821
test_8mm_CEA.db,standard,Pyro-rd_21605 (A),45,300.0,0.0052121736432281
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),1,100.0,0.0020957853584352
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),2,100.0,0.000356325359381
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),3,100.0,0.0005622747151392
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),4,100.0,0.0005484033396698
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),5,100.0,0.0011176178218597
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),6,100.0,0.0010196959563086
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),7,100.0,1.3817716316477656e-05
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),8,100.0,4.022709091566768e-05
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),9,100.0,0.0004379504205043
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),10,100.0,0.000524671718088
test_8mm_CEA.db,standard,Pyro-sq_21607 (C),11,200.0,0.0060860347790614
